OBJECTID,NOMBRE,DIRECCION,SUPERFICIE,PROPIEDAD_TERRENO,DETALLE_PROPIEDAD,ROL,USO_AREA_VERDE,DETALLE_USO_AREA_VERDE,AGNO_APERTURA,COSTO_CONSTRUCCION,FUENTE_FINANCIAMIENTO,DETALLE_FUENTE_FINANCIAMIENTO,ADMINISTRACION,DETALLE_ADMINISTRACION,COSTO_ANUAL_MANTENCION,SUMINISTRO_RIEGO,DETALLE_RIEGO,CONEXION_RED_AGUA,BAÑOS_ASISTENTES,BAÑOS_TRABAJADORES,NIVEL_CONSOLIDACION,TIPO_ACCESO_PUBLICO,COSTO_INGRESO,JUEGOS_INFANTILES,CANCHA_FUTBOL,MULTICANCHA,MAQUINAS_EJERCICIOS,ZONA_PICNIC,OTROS_EQUIPAMIENTOS,ESTACIONAMIENTOS_DISCAPACITADOS,BAÑO_DISCAPACITADOS,RUTA_ACCESIBLE,JUEGOS_ACCESIBLES,OBSERVACIONES,Capa,Programa,COM,REGION,PROVINCIA,Shape_Length,Shape_Area
1421,,Hacienda Atacama,39229.95560909,MUNICIPAL,, ,No,Zona rural,,0, ,,,,,,,,,,,,,,,,,,,,,,,Esta en etapa de perfil para una mejora,Catastro Nacional de Parques Urbanos,Parques Urbanos,03303,03,033,0.0079142735802219,3.61547390974907e-06
1422,PARQUE OASIS,Curque altonº1080,58197.93745748,MUNICIPAL,,153-85, , ,,0,NO CUENTA CON FINANCIAMIENTO,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04103,04,041,0.0092242067770946,5.453436831018e-06
1423,BANDEJÓN,Miraflores S/N,9094.1339515,MUNICIPAL,, ,Sí, ,,0, ,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04301,04,043,0.0113911548256979,8.55116871295967e-07
1424,PISCINA MUNICIPAL,"RUTA D-81, ILLAPEL",52408.39084102,MUNICIPAL,,409-1,Sí, ,,0,OTRO,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04201,04,042,0.0109846774083936,4.98124103566917e-06
1425,PLAZA GABRIELA MISTRAL,CALLE LOS CARRERAS S/N FRENTE AL ESTADIO MUNICIPAL,5987.8189363,B.N.U.P,,,Sí,,,,GORE,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,04103,04,041,0.00439331968102217,5.61026814297176e-07
1426,DUNAS,Borgoño S/N,491021.44903386,PRIVADO,,,No,30.1 há Area Protegida / 20 há AV,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,05109,05,051,0.0294064323036696,4.73163067421075e-05
1427,CERRO CAMINO LAS PARCELAS,AVDA. ALAMEDA  CON CALLE VILLA ALEGRE S/N,227731.40985952,B.N.U.P,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06114,06,061,0.0197088679242484,2.2312509148327e-05
1428,PLAZA, ,6119.33629897, ,, , , ,,0, ,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.00379692199687535,6.04551381719424e-07
1429,BBANDEJÓN,Avenida Lautaro entre Comalle y Bellavista,17462.07219276,B.N.U.P,,no hay registro,Sí,,,,NO CUENTA CON FINANCIAMIENTO,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07308,07,073,0.035649525576468,1.72128870325965e-06
1430,PLAZA CALLE CAPITANIA,Calle Capitanía,6012.82244081,B.N.U.P,,no hay registro,Sí,,,,NO CUENTA CON FINANCIAMIENTO,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07308,07,073,0.00309330690868029,5.92474852201205e-07
1431,PARQUE COSTANERA,,181079.43256425,B.N.U.P,,,Sí,,,10038000000,MINVU,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.0773465510622007,1.79636753434124e-05
1432,PARQUE LOBERIA 2,Avenida Costanera,21521.53988736,B.N.U.P,, , , ,,0, ,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,16202,08,162,0.0108374347593795,2.15038139632511e-06
1433,BANDEJÓN,Calle san Patricio,14645.5764219,B.N.U.P,,NO HAY REGISTRO,NO HAY REGISTRO,NO HAY REGISTRO,,0,MINVU,,,,,,,,,,,,,,,,,,,,,,,Postula a diseño,Catastro Nacional de Parques Urbanos,Parques Urbanos,09108,09,091,0.0265921798882876,1.51107725257464e-06
1434,BANDEJÓN TRAIGUÉN,Av.Suiza (toda su extensión),29202.25007578,B.N.U.P,,NO HAY REGISTRO,Sí,NO HAY REGISTRO,,0,MINVU,,,,,,,,,,,,,,,,,,,,,,,Se desconocen la fechas de inicio y termino de la construcción,Catastro Nacional de Parques Urbanos,Parques Urbanos,09210,09,092,0.0270591900956951,3.00023220477397e-06
1435,PLAZA SECTOR LOS PARAGUAS,industria s/n,6375.78591336,B.N.U.P,,90094-1,Sí,NO HAY REGISTRO,,500000000,MINVU,,,,,,,,,,,,,,,,,,,,,,,NO HAY REGISTRO,Catastro Nacional de Parques Urbanos,Parques Urbanos,09209,09,092,0.00327645755222979,6.50033280279005e-07
1436,PLAZA TIJERAL,Angol con plaza,11094.80454592,B.N.U.P,,NO HAY REGISTRO,Sí,NO HAY REGISTRO,,889258000,MOP,,,,,,,,,,,,,,,,,,,,,,,proyecto aún en evaluación MIDESO,Catastro Nacional de Parques Urbanos,Parques Urbanos,09209,09,092,0.00428176177607404,1.13206190565883e-06
1437,PLAZA,Ruta U400 intersección avenida Anquimapu,5641.91413685,B.N.U.P,, ,Sí, ,,699276242,MINVU,,,,,,,,,,,,,,,,,,,,,,,"Bahía Mansa no tiene PRC vigente, por lo tanto la información contenida en columna Uso de Suelo corresponde al Proyecto PRC en evaluación (octubre, 2017)",Catastro Nacional de Parques Urbanos,Parques Urbanos,10306,10,103,0.00296996391375289,5.98237005780173e-07
1438,PLAZA,Ruta U410 costanera maicolpué,6774.15988383,OTRO,, ,Sí, ,,67189000,GORE,,,,,,,,,,,,,,,,,,,,,,,"Bahía Mansa no tiene PRC vigente, por lo tanto la información contenida en columna Uso de Suelo corresponde al Proyecto PRC en evaluación (octubre, 2017)",Catastro Nacional de Parques Urbanos,Parques Urbanos,10306,10,103,0.00358314314923286,7.18400448147626e-07
1439,PARQUE RECREACIONAL LA TOMA, ,6117.98010308, ,, , , ,,0, ,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,10305,10,103,0.00364118203884832,6.51306155868387e-07
1440,PLAZA,BERNARDO O´HIGGINS S/N PUERTO CHACABUCO,25183.47801794,B.N.U.P,, ,Sí, ,,1368779771,GORE,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,11201,11,112,0.0072790210219079,2.89319564099951e-06
1441,PARQUE MUNICIPAL,AVENIDA TENIENTE MERINO S/N PUERTO AYSEN,5382.97509714,B.N.U.P,, ,Sí, ,,89910000,GORE,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,11201,11,112,0.00891932701416067,6.17882262054638e-07
1442,PLAZA DE PRIMAVERA,CALLE BERNARDO O´HIGGINS S/N,9553.65730343,SERVIU,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,PLAN REGULADOR EN TRAMITE,Catastro Nacional de Parques Urbanos,Parques Urbanos,12302,12,123,0.00689764326538911,1.27317613727008e-06
1443,PLAZA DE SAN GREDORIO,,7032.35972819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,12104,12,121,0.00421997676394016,9.27449868409873e-07
1444,PLAZA,Ignacio Carrera Pinto s/n,15302.73967466,MIXTO,,Sin antecedentes,Sí, ,,1000000000,GORE,,,,,,,,,,,,,,,,,,,,,,,"3 espacios: Plaza Bernardo O'Higgins, Feria Costumbrista y Plaza Mirador, los dos primeros cuentan con proyectos de reposición en etapa diseño. BIP 30117041 y 30117057 respectivamente",Catastro Nacional de Parques Urbanos,Parques Urbanos,14203,14,142,0.00982832297606514,1.61928744544736e-06
1445,PLAZA,Ancud s/n,8348.6997292,B.N.U.P,,Sin antecedentes,Sí, ,,713000000,MINVU,,,,,,,,,,,,,,,,,,,,,,,Actualmente se encuentra ejecutando el diseño,Catastro Nacional de Parques Urbanos,Parques Urbanos,14203,14,142,0.00924820290791055,8.83420189986416e-07
1446,PARQUE COSTANERA,"Población Alderete, Ciudad de Los Lagos.",32472.57767393,B.N.U.P,,95-68,Sí,,,,MIXTO,,,,,,,,,,,,,,,,,,,,,,,Superficie según diseño es de 27479 m2. Proyecto con diseño finalizado a traves de EEPP y a la espera de financiamineto para su Ejecución con aportes del FNDR.,Catastro Nacional de Parques Urbanos,Parques Urbanos,14104,14,141,0.00928355468008144,3.41155108529368e-06
1447,PLAZA RANCO,"Calles 18 de Septiembre, Libertad, Arturo Prat y C",6641.13675783,B.N.U.P,,,,,,750351,MIXTO,,,,,,,,,,,,,,,,,,,,,,,"6420 m2, ejecutado a través de EEPP",Catastro Nacional de Parques Urbanos,Parques Urbanos,14103,14,141,0.00349440339179253,6.93715167553315e-07
1448,PLAZA SECTOR GUACAMAYO,"Sector Guacamayo de la ciudad de Valdivia, por Ave",13487.60313458,SERVIU,,341-42,Sí,,,609.053,MINVU,,,,,,,,,,,,,,,,,,,,,,,13.000,Catastro Nacional de Parques Urbanos,Parques Urbanos,14101,14,141,0.00496467684919811,1.41592927001734e-06
1449,BALNEARIO MUNICIPAL, ,55472.02660902,MIXTO,, ,Sí, ,,0,MOP,,,,,,,,,,,,,,,,,,,,,,, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,14204,14,142,0.026438590795925,5.86679184215189e-06
1450,PLAZA,AVENIDA,7613.85412203,B.N.U.P,,,Sí,,,,GORE,,,,,,,,,,,,,,,,,,,,,,,"SE ENCUENTRA EN LICITACION , MODIFICACION PARA ACCESIBILIDAD",Catastro Nacional de Parques Urbanos,Parques Urbanos,14204,14,142,0.00366437631388345,8.05383608276551e-07
1451,Parque Mirador Viejo,,28329.13829993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13108,13,131,0.00779119398111931,2.7464714309043e-06
1452,Parque Avda. Las Flores,,27323.9509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.0153408016523659,2.6500724818729e-06
1453,Plaza Casas de Itahue,,8874.78701547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13302,13,133,0.00401496266363078,8.59517370238413e-07
1454,Plaza Roosvelt,,16720.91168096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13103,13,131,0.0242457088672545,1.62141223613499e-06
1455,Parque Alto El Manzano,,28709.5563413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13303,13,133,0.0123604213338837,2.77530173608409e-06
1456,Plaza Los Mercenarios,,5528.66678193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13125,13,131,0.00666254242846105,5.35669696059089e-07
1457,Avda. Central,,34492.39465842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13301,13,133,0.0142374912544011,3.3404597606572e-06
1458,Parque Condominio Los Ríos,,16063.65566842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13301,13,133,0.00635435508863056,1.55468782016419e-06
1459,Laguna Santa Elena,,10900.73873151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13301,13,133,0.00626373217046539,1.05442652143307e-06
1460,Plaza El Cobre,,6906.09299758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00404757548359913,6.69678900674963e-07
1461,42 K,,36080.17412478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13126,13,131,0.0518891700401521,3.49792397414467e-06
1462,Plaza Bolivar,,5041.50527873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13126,13,131,0.00277737744813859,4.88917738260865e-07
1463,Parque San Andrés,,14085.29826235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00678014450607329,1.36596816981062e-06
1464,Plaza Jardines de Vespucio,,7729.45254291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00568218123454973,7.4950688333262e-07
1465,Plaza Avda. José Manuel Guzmán,,13015.60981565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00480419809639373,1.26213364531809e-06
1466,Laguna Ayres de Chicureo,,40653.73800802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13301,13,133,0.00830041980098817,3.93206256242822e-06
1467,Plaza Avda. Claudio Arrau,,9631.17255082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00412294608254815,9.34068499990177e-07
1468,Plaza Avda. Caudio Arrau,,12323.70795937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00707485033328096,1.19530187786069e-06
1469,Plaza Waldo Taff,,6550.16111983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13117,13,131,0.0111987808774662,6.35267891839056e-07
1470,Plaza Santa Anita,,6105.25514865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13117,13,131,0.0036715025611684,5.9207044522429e-07
1471,Plaza Villa Grecia,,11547.25745235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00758246027253902,1.11987646946537e-06
1472,Plaza Luis Beltrán,,6981.61104987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00470935098321429,6.77101955474837e-07
1473,Plaza Avda. Claudio Arrau,,5434.92572957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00363212702003905,5.27130862806014e-07
1474,Plaza Isla Trelat,,5903.79771721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00299673440593714,5.72664310219797e-07
1475,Plaza Lebreles,,5476.7657175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13124,13,131,0.00338623244401989,5.31228502150689e-07
1476,BANDEJON CALLE CINCO DE ABRIL,,40148.63937355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13106,13,131,0.0476176779727,3.89479036019921e-06
1477,Plaza José Cardín,,6245.22758138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13106,13,131,0.00475850637194147,6.05853714607924e-07
1478,Plazuela Blanco Encalada,,7612.29190023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.00473609960601862,7.3840393700829e-07
1479,Plaza de Armas de Yungay,,16536.01517359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,16109,08,083,0.00499432660039584,1.67493362368419e-06
1480,Plaza de Bulnes,,15447.25375177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,16102,08,161,0.00506204956977809,1.5565001535795e-06
1481,Plaza de Armas de San Carlos,,15539.67436515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,16301,08,163,0.00492674101414076,1.56012510959979e-06
1482,Bandejón San Carlos,,33077.61989675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,16301,08,163,0.0179232618049049,3.32116168493927e-06
1483,Bandejón Culenar,,12407.66775609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07105,07,071,0.0147024206273896,1.23117320628719e-06
1484,Bandejón Talca,,9084.36956605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00832560147111166,9.01056287943312e-07
1485,Plaza talca Norte,,5045.61115358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00397466352703939,5.00384264718141e-07
1486,Parque La Aguada,,14423.66877501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13129,13,131,0.00659078742869386,1.3994787172724e-06
1487,Plazoleta Calle Valparaíso,,6866.59778032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,05804,05,058,0.0071248072398531,6.62571907430369e-07
1488,Parque lineal en Manquehue Sur,Avenida Manquehue Sur,17463.37379089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13114,13,131,0.0265028292049654,1.69334695081847e-06
1489,Plaza Pedro Lira,,7255.61472039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13111,13,131,0.00678073883717842,7.04583281428921e-07
1490,Plaza Manuel Rodriguez,,5331.79931506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13109,13,131,0.00309978672761561,5.17612369534242e-07
1491,Paseo Palestina,,13812.71971635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13106,13,131,0.00815540789905243,1.3397634315177e-06
1492,Bandejón Aníbal Pinto,,7884.97647948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,09101,09,091,0.0073195670907541,8.15582681801148e-07
1493,Bandejon Talca Norte,,13808.2724957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.0145501170191078,1.36942477439058e-06
1494,Plaza de Armas Las Cabras,,6926.13988607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06107,07,061,0.00332725037644187,6.77966332826559e-07
1495,Plaza en Carlos Peña Otaegui,Carlos Peña Otaegui,16252.37471362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13114,13,131,0.00765581291183888,1.57585744098999e-06
1496,Plaza Carlo Silva Vildósola,,7614.66397618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13129,13,131,0.00506545948588951,7.38816068343726e-07
1497,Plaza Santa Elena,,13599.43855385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13129,13,131,0.00492701390750619,1.31945174436305e-06
1498,Plaza Mozart,,6167.09701562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13129,13,131,0.00483068717219317,5.98396746902039e-07
1499,Plaza Aucanquilcha poniente,Avenida Cuarto Centenario,8063.41504369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13114,13,131,0.00367354333117968,7.81928173118619e-07
1500,Plaza El Llano,,5117.65690321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13130,13,131,0.00252301922305024,4.96561667875103e-07
1501,Plaza Vía Láctea,Calle Vía Láctea,5601.75364527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13114,13,131,0.00739673177227976,5.4323050242854e-07
1502,Parque Centenario,,16431.24519533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13121,13,131,0.0135953727770833,1.5941929169161e-06
1503,Plaza Fraternal,,5050.17925381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13121,13,131,0.0035303433123393,4.90101288706733e-07
1504,Plaza Avda. Padre Esteban Gumucio,,7091.40863297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13111,13,131,0.00641188461258132,6.88389676751879e-07
1505,Plaza en Isabel la Católica,Calle Isabel la Católica,4963.36137163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13114,13,131,0.00426835410604649,4.81308397653487e-07
1506,Plaza Barcelo Lira,,5187.35619878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13131,13,131,0.00288990391499816,5.03669854024509e-07
1507,Plaza Vicuña Mackenna,,6712.03519338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13131,13,131,0.00315587405914903,6.51757863047667e-07
1508,Plaza Sergio Ceppi,,8927.12199486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13109,13,131,0.00552121055371248,8.6649437281737e-07
1509,Plaza Los Bomberos,,10261.03566855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13109,13,131,0.00357245491168912,9.96175991910605e-07
1510,Parque Mapocho 42k Vitacura,Avenida Costanera Sur,25774.73523954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13132,13,131,0.0381388435340164,2.49852545374997e-06
1511,Plaza Doctor Diego Whittaker,,6355.90137608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13109,13,131,0.00317164983312929,6.17041645514485e-07
1512,Plaza Gaspar de Orense,,5494.04761101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13106,13,131,0.00286141612848421,5.32874307061955e-07
1513,Plaza Santo Domingo,,16904.55403982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,16101,08,161,0.00516642779030084,1.70068336339196e-06
1514,Plaza Labranza,,5314.67758162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,09101,09,091,0.00357737359755327,5.49825216812596e-07
1515,Plaza de Armas de Quilleco,,14113.40964243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,08309,08,083,0.00471845350659431,1.43621933046421e-06
1516,Plaza Villa Mercedes,,6573.86334326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,08309,08,083,0.00361148380591141,6.68389117086103e-07
1517,Parque La Aguada,,7983.4786215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13129,13,131,0.00415788554751927,7.74597417525174e-07
1518,Parque Quebrada Honda,Avenida del Parque,32754.79150132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13114,13,131,0.0165079913923274,3.17565724565506e-06
1519,Plaza Fedelez,,5705.6706426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,04102,04,041,0.00280860300255254,5.33081468693391e-07
1520,Plaza Dávila,,13093.91068175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13121,13,131,0.00631091596079766,1.27077187267786e-06
1521,Plaza de la Independencia,,8775.7378562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00394328645715069,8.70396842226619e-07
1522,Parque Sauce,,6725.53796588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13404,13,134,0.00346006354995125,6.54981872816832e-07
1523,Plaza El Pinar,,5765.676761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13129,13,131,0.00295476852935064,5.59517422411967e-07
1524,Plaza Aucanquilcha oriente,Avenida Cuarto Centenario,7827.81076888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13114,13,131,0.00368469389530933,7.59072681845019e-07
1525,Plaza Ecuador,,6762.99379222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13131,13,131,0.00432151762651541,6.56622299346771e-07
1526,Plaza Lo Ovalle,,9554.08713627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13109,13,131,0.00375038194988376,9.27413111627347e-07
1527,Plaza Castelar,,5252.35391592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13109,13,131,0.0031537216515489,5.09878550349441e-07
1528,Plaza Cervantes,,5825.37197405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13109,13,131,0.00315900111219943,5.6551487451719e-07
1529,Plaza Arturo Prat,,12236.62393715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13109,13,131,0.00430692130218357,1.18818173293343e-06
